
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
Finished voronoi preprocessing on graph 23, working toward 100
Finished voronoi preprocessing on graph 24, working toward 100
Finished voronoi preprocessing on graph 25, working toward 100
Finished voronoi preprocessing on graph 26, working toward 100
Finished voronoi preprocessing on graph 27, working toward 100
Finished voronoi preprocessing on graph 28, working toward 100
Finished voronoi preprocessing on graph 29, working toward 100
Finished voronoi preprocessing on graph 30, working toward 100
Finished voronoi preprocessing on graph 31, working toward 100
Finished voronoi preprocessing on graph 32, working toward 100
Finished voronoi preprocessing on graph 33, working toward 100
Finished voronoi preprocessing on graph 34, working toward 100
Finished voronoi preprocessing on graph 35, working toward 100
Finished voronoi preprocessing on graph 36, working toward 100
Finished voronoi preprocessing on graph 37, working toward 100
Finished voronoi preprocessing on graph 38, working toward 100
Finished voronoi preprocessing on graph 39, working toward 100
Finished voronoi preprocessing on graph 40, working toward 100
Finished voronoi preprocessing on graph 41, working toward 100
Finished voronoi preprocessing on graph 42, working toward 100
